,,,,Last epoch,,,,Train loss,,Val. Loss,
Architecture,Batch size,Filters,Learning rate,1,2,3,4,Mean,Std. dev.,Mean,Std. dev.
U-Net,16,32,0.001,95,82,118,67,0.1,0.015,0.19,0.028
U-Net,32,8,0.01,155,95,83,68,0.13,0.025,0.2,0.006
U-Net,32,8,0.001,93,106,82,85,0.12,0.007,0.2,0.02
DeconvNet,32,8,0.001,151,52,75,89,0.21,0.065,0.35,0.029
DeconvNet,8,16,0.001,68,90,89,105,0.2,0.025,0.37,0.013
DeconvNet,8,8,0.001,154,74,94,74,0.2,0.03,0.37,0.038
MultiRes,8,8,0.01,24,41,46,63,0.5,0.008,0.52,0.117
MultiRes,16,16,0.01,49,34,41,39,0.5,0.009,0.52,0.018
MultiRes,8,32,0.001,111,106,94,116,0.48,0.006,0.55,0.025
